"ID","XCOO","YCOO","ELEV","COUN","ASP","LOWDB","LITO","GENLAN","Ag","Al","Al_XRF","Al2O3","As","Au","B","Ba","Be","Bi","Br_IC","Ca","Ca_XRF","CaO","Cd","Cl_IC","Co","Cr","Cu","EC","F_IC","Fe","Fe_XRF","Fe2O3","Hg","K","K_XRF","K2O","La","Li","LOI","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Na","Na_XRF","Na2O","Ni","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","S","Sb","Sc","Se","Si","Si_XRF","SiO2","SO4_IC","Sr","Te","Th","Ti","Ti_XRF","TiO2","V","Y","Zn"
1,547960,7690000,135,"FIN","NW",15,20,"FLA PLAIN",0.004,9300,66300,14.2,0.44,0.581,1.5,24.3,0.19,0.056,0.001,1870,24900,3.49,0.038,0.002667,6.3,18,26.1,0.5,0.0005,15400,34900,5,0.03,900,15800,1.91,6.4,14.1,2.28,3790,11200,1.87,128,540,0.07,0.6,110,29600,3.99,13.3,0.0005,308,300,0.07,4.32,2.01,5.3,0.002,1.998,51,0.005,1.9,0.054,160,313900,67.18,4.446,5.8,0.008,5,915,2750,0.46,28.2,3,36.9
2,770025,7680000,140,"RUS","SW",45,4,"RIDGE",0.018,11100,62100,13.3,0.38,0.454,1.5,16.3,0.14,0.015,0.001,1320,20600,2.89,0.014,0.00612,1.9,22.8,6.2,0.69,0.0005,11800,24800,3.55,0.03,370,9200,1.11,8.8,2.7,10.67,1220,6300,1.05,32.8,300,0.04,0.1,100,25400,3.43,6.9,0.005696,363,390,0.09,1.63,0.816,5.4,0.002,0.25,216,0.005,1.4,0.327,164,296000,63.33,4.824,6.8,0.004,1.5,385,1790,0.3,22.6,2.7,7.4
3,498651,7670000,255,"FIN","N",25,31,"PLAIN",0.019,24500,69600,14.9,0.36,1.442,1.5,44.7,0.43,0.013,0.001,1150,15000,2.1,0.026,0.004799,4.4,28.6,8.2,0.83,0.0005,20000,41600,5.95,0.03,640,13400,1.62,14.2,4.7,10.31,2570,10600,1.76,53.6,460,0.06,0.1,180,12900,1.75,14,0.003029,512,560,0.13,3.36,0.839,5.2,0.002,1.106,184,0.005,2.6,0.257,163,284400,60.86,7.2,7.1,0.008,6,685,3170,0.53,43.5,3.9,24.2
4,795152,7570000,240,"RUS","NE",22,20,"RIDGE",0.034,28700,76300,16.33,0.32,0.549,1.5,49.4,0.21,0.016,0.001,1900,24000,3.36,0.039,0.004599,6.7,47.3,17.5,0.46,0.0005,16200,33900,4.86,0.03,1180,10700,1.29,7.9,8.4,6.51,3320,11000,1.84,65.9,460,0.06,0.3,330,22500,3.04,29.1,0.001673,360,390,0.09,2.01,0.905,5.4,0.002,0.25,184,0.005,3.3,0.202,121,293200,62.75,8.859,8,0.005,4,802,2390,0.4,37.9,2.6,23.6
5,437050,7860000,80,"NOR","N",50,10,"LOWMO",0.023,16100,59600,12.76,3.08,0.522,1.5,30.2,0.46,0.249,0.003004,1010,6000,0.85,0.012,0.009606,6.6,15.9,19.1,1.21,0.0005,40400,51400,7.35,0.03,2660,19700,2.38,36.6,12.4,12.16,3450,4400,0.74,106,770,0.1,1.3,60,14300,1.93,10.6,0.002413,994,910,0.21,13,0.781,5,0.002,0.988,218,0.049,1.8,0.774,166,288800,61.79,10.58,4.7,0.012,21,1070,4190,0.7,20,13.8,51.8
6,752106,7630000,140,"RUS","E",24,20,"SLOPE",0.022,20400,67700,14.49,0.43,0.514,1.5,19.2,0.25,0.022,0.001,1030,22500,3.15,0.014,0.004819,4.3,43.9,10.3,0.93,0.0005,33200,44100,6.31,0.03,500,8700,1.05,6.1,6.1,8.27,2650,10000,1.67,53.5,460,0.06,0.4,130,22700,3.07,17,0.0005,360,340,0.08,1.94,0.811,5.2,0.002,1.73,300,0.005,2.6,0.288,153,286900,61.39,26.081,3.6,0.009,6,860,2690,0.45,57.6,2.4,16.8
7,531687,7630000,195,"FIN","E",15,31,"PLAIN",0.025,24400,62800,13.44,1.23,1.268,1.5,64.7,0.38,0.033,0.001,970,13400,1.88,0.037,0.006111,7.9,43.9,9,1.02,0.0005,26600,42800,6.12,0.06,820,15600,1.88,9.9,7.5,6.54,3400,11200,1.86,395,690,0.09,0.4,110,13100,1.77,22.4,0.001334,356,390,0.09,4.24,0.495,5.2,0.002,0.25,176,0.011,3.2,0.184,139,305700,65.41,25.479,5,0.016,7,891,3410,0.57,50.1,3.3,57.8
9,752013,7690000,120,"RUS","FLAT",13,4,"RIDGE",0.012,10200,64100,13.73,0.67,0.747,1.5,27.9,0.16,0.054,0.001,1420,19700,2.77,0.02,0.0039,4.6,34.8,15.5,0.68,0.0005,14700,28600,4.1,0.03,1180,12200,1.47,10.8,11.8,6.53,3370,7900,1.32,81.9,460,0.06,0.3,90,26700,3.6,16.3,0.002946,414,430,0.1,2.2,0.734,5.1,0.002,0.839,148,0.012,1.5,0.191,132,307400,65.77,13.796,8.1,0.009,4,696,2390,0.4,28.9,2.7,19.6
10,688999,7610000,90,"RUS","FLAT",19,1,"RIDGE",0.007,13600,69500,14.89,0.42,0.595,1.5,24.6,0.18,0.011,0.001,2840,37100,5.2,0.017,0.008934,5.4,38.8,11.2,0.58,0.0005,18100,57500,8.23,0.03,330,7400,0.9,7.1,5.3,3.19,3000,20600,3.43,96.6,920,0.12,0.1,400,23400,3.16,16.7,0.0005,554,480,0.11,1.93,1.028,5.3,0.002,0.945,109,0.005,2.2,0.065,185,279500,59.82,10.064,9.8,0.009,3,971,4490,0.75,43.2,3.2,21.8
11,489804,7650000,180,"FIN","SE",10,31,"FLA PLAIN",0.011,21300,70200,15.04,0.64,1.036,1.5,42.3,0.51,0.015,0.001,1860,19500,2.73,0.033,0.004902,6.2,44.1,12.1,0.68,0.0005,23100,55600,7.95,0.03,630,12600,1.52,11.8,7.7,5.8,3640,15500,2.58,71.8,610,0.08,0.4,310,14900,2.02,22.6,0.0005,485,480,0.11,3.28,0.581,5.2,0.002,0.25,131,0.005,2.7,0.132,126,282600,60.47,10.702,7.9,0.014,7,848,4010,0.67,47.8,3.4,36.2
