"ID","XCOO","YCOO","ELEV","COUN","*ASP","AoMEAN","HUMNO","HUMTHI","GROUNDVEG","TREELAY","VEG_ZONE","LITO","Ag","Al","Al_AA","As","Au","B","Ba","Ba_AA","Be","Bi","Br","C","Ca","Ca_AA","Cd","Cd_AA","Cl","Co","Co_AA","Cond","Cr","Cr_AA","Cu","Cu_AA","F","Fe","Fe_AA","H","Hg","K","K_AA","La","LOI","Mg","Mg_AA","Mn","Mn_AA","Mo","N","Na","Na_AA","Ni","Ni_AA","NO3","P","P_AA","Pb","Pb_AA","Pd","pH","PO4","Pt","Rb","S","S_AA","Sb","Sc","Se","Si","Si_AA","SO4","Sr","Sr_AA","Th","Ti_AA","Tl","U","V","V_AA","Y","Zn","Zn_AA"
1,547960,7690000,135,"FIN","NW",2.4,5,3,"EMPETRUM","PIBI","BOREAL_FOREST",20,0.124,1420,35.5,0.743,1.87,2.51,74,25.6,0.02,0.108,1,39.9,3900,2200,0.298,0.23,82.9,1.28,0.25,140.1,3.04,0.07,10.9,0.19,49.28,2050,11.2,5.5,0.155,1100,781,2.3,82.2,820,474,202,107,0.662,1.2,40,17.5,9.41,0.74,3.48,743,125,15.9,3.8,0.63,3.9,363.66,1.27,8.14,1300,107,0.12,0.6,0.4,630,7,141.88,22.2,11.8,0.413,0.32,0.081,0.24,6.79,0.1,0.8,59.1,22.4
2,770025,7680000,140,"RUS","SW",6,5,6,"SHRUBS","BIRCH","FOREST_TUNDRA",4,0.13,7190,1000,0.973,0.186,3.45,65.2,16.6,0.08,0.084,1,47.5,1900,928,0.39,0.32,88.2,3.37,1.07,100.4,2.02,0.08,12.3,0.36,52.24,3170,62.8,6.8,0.263,900,651,6.4,94.7,670,457,22.8,8.85,0.286,1.5,120,105,14.8,1.3,3.42,1030,39.9,13.9,3,1.27,4.1,34.3,1.66,2.82,1950,120,0.161,1.2,0.81,640,10,143.88,34.4,16.5,0.281,0.24,0.068,0.12,3.89,0.13,2.4,18.1,7.23
3,498651,7670000,255,"FIN","N",3.1,5,3.4,"BLUEBERRY","BIRCH","FOREST_TUNDRA",31,0.124,1970,98.5,1.1,0.156,1.62,121,42.6,0.04,0.137,1,44.2,3240,1910,0.295,0.22,33.58,0.98,0.25,122.6,1.33,0.04,5.59,0.08,44.78,1100,5,6.3,0.168,1000,666,1.7,95.4,790,586,70.3,39.2,0.166,1.5,30,32.3,5.05,0.42,0.5,922,124,19,5.1,0.13,3.8,382.78,0.15,4.45,1750,108,0.25,0.4,0.4,580,5,130.82,43.4,24.3,0.246,0.1,0.077,0.042,2.86,0.09,0.5,67.6,30.9
4,795152,7570000,240,"RUS","NE",1,,,"WHITE_LICHEN","PIBI","BOREAL_FOREST",,0.309,6360,322,1.24,0.376,1.59,63.5,19.9,0.07,0.135,1,19.4,2470,820,0.222,0.17,49.86,3.91,0.56,106.3,17,0.45,29.8,1.69,47.08,6180,42.5,3,0.175,900,445,5.3,52.7,1180,186,118,37.8,0.28,0.7,150,31.1,59.5,5.89,3.98,717,65.5,16.3,4.3,5.9,4,191.68,1.1,8.13,965,77.4,0.017,1.4,0.4,690,16,118.5,29.2,12.3,0.816,1.14,0.099,0.163,16.1,0.2,1.9,43.3,17.1
5,437050,7860000,80,"NOR","N",15,5,3,"SHRUBS","BIRCH","FOREST_TUNDRA",10,0.04,630,15.5,0.533,0.025,4.33,36,9.33,0.01,0.076,1,45.8,3500,1920,0.214,0.19,72.12,0.43,0.06,107.5,0.79,0.01,6.23,0.05,50.6,790,3.1,6.1,0.197,700,611,1.2,95.3,1770,1440,24.4,10.4,0.248,1.5,410,366,1.98,0.08,0.5,795,149,14.3,3.2,0.05,4.1,362.24,0.15,2.67,1860,78.8,0.169,0.2,0.4,440,3,100.88,46.4,23.9,0.25,0.025,0.06,0.127,1.63,0.04,0.8,41.4,16.1
6,752106,7630000,140,"RUS","E",3,6,2,"SHRUBS","BIPI","BOREAL_FOREST",20,0.421,2060,115,1.54,0.86,1.93,111,32.5,0.07,0.176,1,47.8,3340,1790,0.327,0.2,97.04,4.61,0.66,151.6,3.78,0.08,47.3,0.98,46.16,3370,16.6,5.8,0.239,1200,808,7,91.3,800,510,86.1,35.4,0.473,1.3,60,41.5,78,3.97,5.88,942,152,21.7,4.1,10.4,3.7,385.84,4.53,5.23,1410,108,0.217,0.7,0.4,530,6,154.34,67.9,34.9,0.432,0.18,0.084,0.112,7.4,0.17,1.6,46,16
7,531687,7630000,195,"FIN","E",0.5,9,0.6,"SHRUBS","PIBI","BOREAL_FOREST",31,0.235,1200,23.6,0.836,0.025,2.51,109,42.4,0.01,0.145,1,45.7,3010,1850,0.294,0.29,27.48,0.75,0.1,152.8,2.01,0.13,8.66,0.17,17.44,1150,4.2,6.5,0.233,1000,781,1.5,92,660,413,1210,561,0.185,1.7,10,10.9,5.7,0.43,0.5,1120,219,15.2,3.1,0.19,4,271.22,0.15,4.94,1880,146,0.189,0.4,0.4,650,9,61.4,20.7,11.9,0.371,0.12,0.088,0.051,3.55,0.07,0.5,103,45.4
8,537800,7880000,40,"NOR","E",8,5,3,"SHRUBS","PINE","TUNDRA",10,0.043,1510,40.9,0.657,0.054,4.46,24.5,5.84,0.05,0.075,6.8,47.3,3090,1710,0.18,0.12,46.64,0.55,0.06,86.4,1.63,0.03,5.55,0.01,33.62,1800,6.8,6.4,0.217,600,455,2.9,92.6,1750,1390,16.7,7,0.372,1.5,320,280,2.19,0.025,0.5,790,90.3,11.6,3,0.21,4.2,243.54,0.15,2.33,2210,74.2,0.126,0.6,1.46,490,5,73.86,59.1,31.7,0.535,0.14,0.042,0.265,2.57,0.08,1.8,21.5,8.07
9,752013,7690000,120,"RUS","FLAT",2,6,2,"WHITE_LICHEN",,"TUNDRA",4,0.07,3380,342,1.75,0.087,5.08,42.2,15.6,0.06,0.259,1,29.5,1760,830,0.295,0.22,37.26,1.68,0.51,83.5,10.9,0.36,10,0.43,26.06,4820,141,4.4,0.238,800,398,6.3,64.1,820,300,39.2,9.83,0.277,0.7,110,61,11.7,2.29,0.5,779,52.5,284,83,0.05,4,78.8,0.48,4.07,1260,81.1,0.809,1.1,0.4,630,6,96.98,28.8,17,1.13,0.7,0.084,0.221,13.9,0.41,1.7,23.2,13
10,688999,7610000,90,"RUS","FLAT",3,7,2,"SHRUBS","PIBISPR",,1,0.086,1320,59.6,1.04,0.394,2.1,51.4,18.7,0.01,0.112,1,46.8,2810,1690,0.284,0.21,134.08,1.12,0.26,149.2,1.71,0.04,9.25,0.17,32.44,970,4.2,6.5,0.229,1000,747,1.2,94.3,570,381,115,66.5,0.15,1,50,43.5,13.2,1.28,0.5,745,148,14.1,3.2,1.14,3.6,386.06,0.15,5.35,1250,110,0.202,0.3,0.4,560,4,136.54,23.2,13.1,0.109,0.06,0.097,0.031,2.76,0.08,0.4,38.5,15.1
