"ID","XCOO","YCOO","ELEV","COUN","ASP","TOPC","LITO","Ac_228","As","Au","Ba","Bi_214","Br","Ca","Ce","Co","Cr","Cs","Cs_137","EC","Eu","Fe","Hf","Hg","K_40","La","LOI","Lu","Mo","Na","Nd","Ni","pH","Rb","Sb","Sc","Sm","Sr","Tb","Th","U","W","Yb","Zn"
1,547960,7690000,135,"FIN","NW",35,20,8.4,0.25,0.001,480,5.2,0.25,20000,19,10,53,0.5,46.7,17.1,0.5,30000,3,0.5,428.8,8.8,11,0.23,0.5,25300,5,10,4.5,53,0.05,11,1.5,250,0.6,2,0.25,0.5,1.3,115
2,770025,7680000,140,"RUS","SW",52,4,12.5,0.25,0.001,25,1.4,63,20000,15,3,15,0.5,50,30.5,0.5,5700,2,0.5,170.2,8.5,49.6,0.07,0.5,12000,8,10,4.6,7.5,0.05,2.9,1.1,250,0.25,1.3,0.25,0.5,0.4,25
3,498651,7670000,255,"FIN","N",52,31,44.1,0.25,0.001,520,9.5,6.2,5000,55,3,43,0.5,65.1,19.7,0.9,18600,5,0.5,375.4,27,18.7,0.32,0.5,7800,24,10,4.6,7.5,0.3,8,3.4,250,0.25,6.6,0.25,0.5,1.5,25
4,795152,7570000,240,"RUS","NE",40,20,12.5,0.25,0.001,270,5,8.5,20000,26,9,170,0.5,26.2,12.9,0.7,27600,4,0.5,225.2,14,10.3,0.23,0.5,22500,11,10,4.8,7.5,0.05,11,2,250,0.25,3.8,1.2,0.5,1.1,25
5,437050,7860000,80,"NOR","N",50,10,4.2,0.25,0.005,25,2.4,100,5000,5,0.5,8,0.5,92.8,57.9,0.1,2300,0.5,0.5,76.6,2.2,91.5,0.07,0.5,1800,2.5,10,4.4,24,0.3,0.8,0.3,250,0.25,0.6,0.8,0.5,0.4,25
6,752106,7630000,140,"RUS","E",42,20,15.4,1.1,0.001,330,5.7,6.6,5000,28,4,56,0.5,24.9,29.5,0.8,12200,7,0.5,165.9,16,16.7,0.17,0.5,21500,10,10,4.3,7.5,0.05,4.5,1.9,250,0.25,3.9,1,0.5,0.9,25
7,531687,7630000,195,"FIN","E",34,31,34.3,0.25,0.004,650,10.2,2.3,20000,46,7,80,0.5,14.5,7.9,0.9,28900,7,0.5,525.7,25,3.38,0.34,0.5,14000,19,10,5.1,56,0.05,12,3.3,250,0.25,7.3,0.25,0.5,2.2,25
8,537800,7880000,120,"RUS","FLAT",17,4,3.4,0.25,0.001,25,1.8,220,5000,14,4,2.5,0.5,59.9,43,0.1,3500,2,0.5,37.6,6.3,89.9,0.12,0.5,2200,2.5,60,4.5,7.5,0.05,1.7,1.1,250,0.25,0.1,0.25,0.5,0.7,25
9,752013,7690000,90,"RUS","FLAT",38,1,17.5,0.25,0.001,400,6.9,47,5000,33,7,62,2,30,10.4,0.8,22800,6,0.5,329.1,16,15.7,0.16,0.5,27500,15,10,4.9,38,0.05,8.6,2.4,250,0.25,4.5,1.2,0.5,1.2,25
10,688999,7610000,180,"FIN","SE",26,31,7.6,0.25,0.001,340,3.5,4.9,30000,21,12,120,0.5,25.5,19.9,0.9,39000,5,0.5,186.2,9.9,25.2,0.38,0.5,22500,10,10,4.4,7.5,0.05,16,2.5,250,0.5,1.6,0.25,0.5,2.3,25
